budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Batman,35000000.0,[u'Tim Burton'],Warner Bros.,251188924.0,160160000.0,Action / Adventure,PG-13,126,3045.0,-0.262,8,3112.0,0.055,7,1920.0,-0.41100000000000003,9,1761.0,-0.22899999999999998,10,1425.0,-0.24,11,1439.0,-0.22100000000000003,12,30961.0,67928342.0,1,23747.0,-0.231,1,13680.0,-0.424,2,10830.0,-0.20800000000000002,2,7977.0,-0.263,2,6241.0,-0.218,3,4971.0,-0.25,5,4351.0,-0.249,7,3839.0,-0.305,8,NA,Batman
Batman Begins,150000000.0,[u'Christopher Nolan'],Warner Bros.,206852432.0,167366241.0,Action / Adventure,PG-13,140,2318.0,-0.408,19,2124.0,-0.317,22,2123.0,-0.2,27,1105.0,0.188,21,981.0,-0.271,25,723.0,-0.46799999999999997,31,18344.0,70770878.0,1,10767.0,-0.42700000000000005,1,7019.0,-0.348,2,4550.0,-0.424,3,3300.0,-0.391,5,3099.0,-0.24,10,2398.0,-0.455,13,2377.0,-0.262,13,2188.0,-0.452,16,"[u'David S. Goyer', u'Christopher Nolan']",Batman Begins
Batman Forever,100000000.0,[u'Joel Schumacher'],Warner Bros.,184031112.0,152498032.0,Action / Adventure,PG-13,122,1355.0,-0.429,22,1650.0,2.92,16,1442.0,-0.126,18,1020.0,-0.478,18,970.0,-0.28,19,843.0,-0.34,15,27235.0,77403197.0,1,14748.0,-0.449,2,8822.0,-0.402,3,4759.0,-0.46,5,3294.0,-0.405,8,2850.0,-0.313,10,1966.0,-0.498,13,1706.0,-0.554,17,1661.0,-0.429,22,[u'Akiva Goldsman'],Batman Forever
Batman Returns,80000000.0,[u'Tim Burton'],Warner Bros.,162831698.0,103990656.0,Action / Adventure,PG-13,126,1182.0,-0.454,15,1452.0,2.48,14,1386.0,-0.035,11,977.0,-0.43100000000000005,14,934.0,-0.132,16,929.0,-0.204,15,26215.0,69311642.0,1,14328.0,-0.45299999999999996,1,7766.0,-0.45799999999999996,3,4318.0,-0.444,4,3212.0,-0.423,6,2334.0,-0.36,8,1891.0,-0.37,11,1730.0,-0.501,14,1555.0,-0.459,15,[u'Daniel Waters'],Batman Returns
Batman Robin,125000000.0,[u'Joel Schumacher'],Warner Bros.,107325195.0,130881927.0,Action / Adventure,PG-13,125,818.0,3.61,17,738.0,-0.142,16,446.0,-0.429,14,258.0,-0.48600000000000004,14,179.0,-0.493,14,NA,NA,NA,20270.0,59472346.0,1,7891.0,-0.61,5,4086.0,-0.48200000000000004,5,2339.0,-0.474,8,1472.0,-0.5529999999999999,10,948.0,-0.634,12,1059.0,-0.541,17,1117.0,-0.506,18,827.0,-0.461,17,[u'Akiva Goldsman'],Batman Robin
Batman v Superman: Dawn of Justice,250000000.0,[u'Zack Snyder'],Warner Bros.,330360194.0,542302437.0,Action / Adventure,PG-13,151,2149.0,0.8170000000000001,15,1613.0,-0.439,17,1418.0,-0.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,49286.0,209072793.0,1,15079.0,-0.693,1,7082.0,-0.547,2,3332.0,-0.598,4,2394.0,-0.371,6,2096.0,-0.335,9,925.0,-0.698,10,992.0,-0.5,13,1330.0,-0.42100000000000004,21,"[u'David S. Goyer', u'Chris Terrio']",Batman v Superman: Dawn of Justice
Batman: Mask of the Phantasm,NA,NA,Warner Bros.,5617391.0,NA,Animation,PG,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.0,2984709.0,12,1135.0,-0.42700000000000005,13,493.0,-0.763,15,573.0,-0.65,21,378.0,-0.5860000000000001,20,393.0,2.14,20,489.0,-0.275,21,NA,NA,NA,NA,NA,NA,NA,Batman: Mask of the Phantasm
Catwoman,100000000.0,NA,Warner Bros.,40202379.0,41900000.0,Action / Adventure,PG-13,104,987.0,-0.215,35,568.0,-0.545,42,460.0,-0.532,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,7485.0,23330515.0,3,3155.0,-0.578,6,1823.0,-0.578,11,1152.0,-0.674,18,1353.0,-0.556,23,990.0,-0.726,42,875.0,-0.35600000000000004,51,621.0,-0.619,65,1148.0,5.55,31,NA,Catwoman
Constantine,100000000.0,[u'Francis Lawrence'],Warner Bros.,75976178.0,154908550.0,Horror,R,121,1033.0,-0.42700000000000005,42,810.0,1.46,24,1526.0,0.631,20,1121.0,-0.556,27,878.0,-0.488,39,NA,NA,NA,12951.0,38931540.0,2,5188.0,-0.599,3,2957.0,-0.47700000000000004,6,2478.0,-0.341,8,2028.0,-0.37,9,1744.0,-0.48200000000000004,13,1143.0,-0.6020000000000001,16,1046.0,-0.5479999999999999,23,873.0,-0.387,26,NA,Constantine
Green Lantern,200000000.0,[u'Martin Campbell'],Warner Bros.,116601172.0,103250000.0,Action / Adventure,PG-13,105,1969.0,-0.249,24,1448.0,-0.325,31,1543.0,-0.11199999999999999,37,950.0,-0.484,41,700.0,-0.511,45,670.0,-0.545,62,18596.0,70961421.0,1,7037.0,-0.652,4,3322.0,-0.559,7,2405.0,-0.555,10,2167.0,-0.5650000000000001,14,1438.0,-0.713,19,2341.0,-0.478,29,1584.0,-0.45799999999999996,41,2622.0,2.71,20,"[u'Greg Berlanti', u'Michael Green', u'Marc Guggenheim']",Green Lantern
Jonah Hex,47000000.0,[u'Jimmy Hayward'],Warner Bros.,10547117.0,356195.0,Western,PG-13,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2670.0,7543641.0,8,4204.0,-0.6990000000000001,12,654.0,-0.899,31,864.0,-0.755,51,3027.0,1.48,36,1233.0,0.559,28,820.0,-0.687,44,951.0,-0.65,62,NA,NA,NA,"[u'Mark Neveldine', u'Brian Taylor']",Jonah Hex
Man of Steel,225000000.0,[u'Zack Snyder'],Warner Bros.,291045518.0,377000000.0,Action / Adventure,PG-13,143,2067.0,-0.36600000000000005,24,1598.0,-0.358,29,1565.0,-0.08199999999999999,36,776.0,-0.649,40,934.0,-0.455,48,NA,NA,NA,37254.0,156728823.0,1,14036.0,-0.623,3,10770.0,-0.459,6,5644.0,-0.48700000000000004,7,3261.0,-0.5720000000000001,10,2740.0,-0.59,14,2308.0,-0.598,18,2358.0,-0.38,22,2793.0,0.66,19,"[u'David S. Goyer', u'Christopher Nolan']",Man of Steel
Red,58000000.0,[u'Robert Schwentke'],Summit Entertainment,90380162.0,108626225.0,Action Comedy,PG-13,111,1367.0,-0.044000000000000004,19,1581.0,-0.131,20,1411.0,-0.18100000000000002,20,1082.0,-0.33899999999999997,24,1017.0,-0.258,30,937.0,-0.316,37,8751.0,28483269.0,2,5992.0,-0.312,3,4455.0,-0.239,3,3621.0,-0.21600000000000003,4,2225.0,-0.452,7,3977.0,-0.43200000000000005,11,1836.0,-0.538,13,1342.0,-0.37700000000000006,15,1113.0,-0.4,18,"[u'Erich Hoeber', u'Jon Hoeber']",Red
