RT_audience_perc,RT_audience_rating,RT_consensus,RT_perc,RT_rating,awards,imdb_id,imdb_rating,metascore,plot,poster,release_date,release_year,Title
Batman,84,3.5,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",72,6.6,Won 1 Oscar. Another 9 wins & 22 nominations.,tt0096895,7.6,69,"Gotham City. Crime boss Carl Grissom (Jack Palance) effectively runs the town but there's a new crime fighter in town - Batman (Michael Keaton). Grissom's right-hand man is Jack Napier (Jack Nicholson), a brutal man who is not entirely sane... After falling out between the two Grissom has Napier set up with the Police and Napier falls to his apparent death in a vat of chemicals. However, he soon reappears as The Joker and starts a reign of terror in Gotham City. Meanwhile, reporter Vicki Vale (Kim Basinger) is in the city to do an article on Batman. She soon starts a relationship with Batman's everyday persona, billionaire Bruce Wayne.",http://ia.media-imdb.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1_SX300.jpg,23 Jun 1989,1989,Batman
Batman Begins,94,3.9,"Brooding and dark, but also exciting and smart, Batman Begins is a film that understands the essence of one of the definitive superheroes.",85,7.7,Nominated for 1 Oscar. Another 15 wins & 66 nominations.,tt0372784,8.3,70,"When his parents were killed, billionaire playboy Bruce Wayne relocates to Asia when he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as 'Batman'. But it doesn't stay quiet for long.",http://ia.media-imdb.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX300.jpg,15 Jun 2005,2005,Batman Begins
Batman Forever,33,2.9,"Loud, excessively busy, and often boring, Batman Forever nonetheless has the charisma of Jim Carrey and Tommy Lee Jones to offer mild relief.",41,5.2,Nominated for 3 Oscars. Another 9 wins & 21 nominations.,tt0112462,5.4,51,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face incorrectly believes Batman caused the courtroom accident which left him disfigured on one side; he has unleashed a reign of terror on the good people of Gotham. Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler he perfects a device for draining information from all the brains in Gotham, including Bruce Wayne's knowledge of his other identity. Batman/Wayne is/are the love focus of Dr. Chase Meridan. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin the Boy Wonder.",http://ia.media-imdb.com/images/M/MV5BMjAwOTEyNjg0M15BMl5BanBnXkFtZTYwODQyMTI5._V1_SX300.jpg,16 Jun 1995,1995,Batman Forever
Batman Returns,73,3.3,"Director Tim Burton's dark, brooding atmosphere, Michael Keaton's work as the tormented hero, and the flawless casting of Danny DeVito as The Penguin and Christopher Walken as, well, Christopher Walken make the sequel better than the first.",80,6.7,Nominated for 2 Oscars. Another 2 wins & 15 nominations.,tt0103776,7.0,68,"Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Earlier however, Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.",http://ia.media-imdb.com/images/M/MV5BODM2OTc0Njg2OF5BMl5BanBnXkFtZTgwMDA4NjQxMTE@._V1_SX300.jpg,19 Jun 1992,1992,Batman Returns
Batman Robin,16,2.5,Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.,11,3.7,9 wins & 21 nominations.,tt0118688,3.7,28,Batman & Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,http://ia.media-imdb.com/images/M/MV5BNTM1NTIyNjkwM15BMl5BanBnXkFtZTcwODkxOTQxMQ@@._V1_SX300.jpg,20 Jun 1997,1997,Batman Robin
Batman v Superman: Dawn of Justice,67,3.6,Batman v Superman: Dawn of Justice smothers a potentially powerful story -- and some of America's most iconic superheroes -- in a grim whirlwind of effects-driven action.,27,4.9,N/A,tt2975590,7.1,44,"The General public is controversial over having superman on their planet and letting the dark knight pursue the streets of Gotham. And while this is happening, a power-phobic batman tries to attack superman, meanwhile, superman tries to settle on a decision, and Lex Luther, a millionaire, tries to use his own advantages to fight the man of steel.",http://ia.media-imdb.com/images/M/MV5BNTE5NzU3MTYzOF5BMl5BanBnXkFtZTgwNTM5NjQxODE@._V1_SX300.jpg,25 Mar 2016,2016,Batman v Superman: Dawn of Justice
Batman: Mask of the Phantasm,88,3.6,"Stylish and admirably respectful of the source material, Batman: Mask of the Phantasm succeeds where many of the live-action Batman adaptations have failed.",81,6.8,1 nomination.,tt0106364,7.9,N/A,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,http://ia.media-imdb.com/images/M/MV5BMTMzODU0NTYxN15BMl5BanBnXkFtZTcwNDUxNzUyMQ@@._V1_SX300.jpg,25 Dec 1993,1993,Batman: Mask of the Phantasm
Catwoman,18,2.2,"Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.",9,3.1,8 wins & 6 nominations.,tt0327554,3.3,27,"Catwoman is the story of shy, sensitive artist Patience Philips, a woman who can't seem to stop apologizing for her own existence. She works as a graphic designer for Hedare Beauty, a mammoth cosmetics company on the verge of releasing a revolutionary anti-aging product. When Patience inadvertently happens upon a dark secret her employer is hiding, she finds herself in the middle of a corporate conspiracy. What happens next changes Patience forever. In a mystical twist of fate, she is transformed into a woman with the strength, speed, agility and ultra-keen senses of a cat. With her newfound prowess and feline intuition, Patience becomes Catwoman, a sleek and stealthy creature balancing on the thin line between good and bad. Like any wildcat, she's dangerous, elusive and untamed. Her adventures are complicated by a burgeoning relationship with Tom Lone, a cop who has fallen for Patience but cannot shake his fascination with the mysterious Catwoman, who appears to be responsible for a string of crime sprees plaguing the city.",http://ia.media-imdb.com/images/M/MV5BMjA4MzM0NDAzOF5BMl5BanBnXkFtZTcwMDY3MDYyMQ@@._V1_SX300.jpg,23 Jul 2004,2004,Catwoman
Constantine,72,3.5,"Despite solid production values and an intriguing premise, Constantine lacks the focus of another spiritual shoot-em-up, The Matrix.",46,5.5,2 wins & 9 nominations.,tt0360486,6.9,50,"John Constantine is approached by Det. Angela Dodson who needs his help to prove that her twin sister Isabel's death was not a suicide. The dead woman was a devout Catholic and Angela refuses to accept she would have taken her own life. She's asked Constantine for help because he has a reputation for dealing with the mystical. In fact, he is a demon hunter whose sole purpose on Earth is to send demons back to the nether regions. John himself has been to Hell - as a young man he too committed suicide and now knows that he is destined to return there on his death - but hopes his good deeds may somehow find him a place in Heaven. As he looks into Isabel's death, he realises demons are trying to break through to the human world, and his battles lead him into a direct conflict with Satan.",http://ia.media-imdb.com/images/M/MV5BMTE5NDk5NTUyN15BMl5BanBnXkFtZTYwNzUyMDA3._V1_SX300.jpg,18 Feb 2005,2005,Constantine
Green Lantern,45,3.1,"Noisy, overproduced, and thinly written, Green Lantern squanders an impressive budget and decades of comics mythology.",26,4.6,2 wins & 5 nominations.,tt1133985,5.6,39,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",http://ia.media-imdb.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_SX300.jpg,17 Jun 2011,2011,Green Lantern
