budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
35000000.0,[u'Tim Burton'],Warner Bros.,251188924.0,160160000.0,Action / Adventure,PG-13,126,3045.0,-0.262,8.0,3112.0,0.055,7.0,1920.0,-0.411,9.0,1761.0,-0.229,10.0,1425.0,-0.24,11.0,1439.0,-0.221,12.0,30961.0,67928342.0,1,23747.0,-0.231,1.0,13680.0,-0.424,2.0,10830.0,-0.208,2.0,7977.0,-0.263,2.0,6241.0,-0.218,3.0,4971.0,-0.25,5.0,4351.0,-0.249,7.0,3839.0,-0.305,8.0,,Batman
250000000.0,[u'Christopher Nolan'],Warner Bros.,448139099.0,636800000.0,Action Thriller,PG-13,165,1825.0,-0.421,14.0,1690.0,-0.36,16.0,1728.0,-0.103,15.0,1540.0,-0.279,16.0,1420.0,-0.316,19.0,1364.0,-0.19,19.0,51092.0,225011359.0,1,21159.0,-0.586,1.0,12355.0,-0.438,1.0,7633.0,-0.463,3.0,5150.0,-0.423,5.0,3945.0,-0.368,6.0,4230.0,-0.1,8.0,2167.0,-0.534,10.0,1889.0,-0.306,12.0,"[u'David S. Goyer', u'Christopher Nolan', u'Jonathan Nolan']",The Dark Knight Rises
150000000.0,[u'Christopher Nolan'],Warner Bros.,206852432.0,167366241.0,Action / Adventure,PG-13,140,2318.0,-0.408,19.0,2124.0,-0.317,22.0,2123.0,-0.2,27.0,1105.0,0.188,21.0,981.0,-0.271,25.0,723.0,-0.468,31.0,18344.0,70770878.0,1,10767.0,-0.427,1.0,7019.0,-0.348,2.0,4550.0,-0.424,3.0,3300.0,-0.391,5.0,3099.0,-0.24,10.0,2398.0,-0.455,13.0,2377.0,-0.262,13.0,2188.0,-0.452,16.0,"[u'David S. Goyer', u'Christopher Nolan']",Batman Begins
100000000.0,[u'Joel Schumacher'],Warner Bros.,184031112.0,152498032.0,Action / Adventure,PG-13,122,1355.0,-0.429,22.0,1650.0,2.92,16.0,1442.0,-0.126,18.0,1020.0,-0.478,18.0,970.0,-0.28,19.0,843.0,-0.34,15.0,27235.0,77403197.0,1,14748.0,-0.449,2.0,8822.0,-0.402,3.0,4759.0,-0.46,5.0,3294.0,-0.405,8.0,2850.0,-0.313,10.0,1966.0,-0.498,13.0,1706.0,-0.554,17.0,1661.0,-0.429,22.0,[u'Akiva Goldsman'],Batman Forever
,,Warner Bros.,5617391.0,,Animation,PG,76,,,,,,,,,,,,,,,,,,,1982.0,2984709.0,12,1135.0,-0.427,13.0,493.0,-0.763,15.0,573.0,-0.65,21.0,378.0,-0.586,20.0,393.0,2.14,20.0,489.0,-0.275,21.0,,,,,,,,Batman: Mask of the Phantasm
80000000.0,[u'Tim Burton'],Warner Bros.,162831698.0,103990656.0,Action / Adventure,PG-13,126,1182.0,-0.454,15.0,1452.0,2.48,14.0,1386.0,-0.035,11.0,977.0,-0.431,14.0,934.0,-0.132,16.0,929.0,-0.204,15.0,26215.0,69311642.0,1,14328.0,-0.453,1.0,7766.0,-0.458,3.0,4318.0,-0.444,4.0,3212.0,-0.423,6.0,2334.0,-0.36,8.0,1891.0,-0.37,11.0,1730.0,-0.501,14.0,1555.0,-0.459,15.0,[u'Daniel Waters'],Batman Returns
125000000.0,[u'Joel Schumacher'],Warner Bros.,107325195.0,130881927.0,Action / Adventure,PG-13,125,818.0,3.61,17.0,738.0,-0.142,16.0,446.0,-0.429,14.0,258.0,-0.486,14.0,179.0,-0.493,14.0,,,,20270.0,59472346.0,1,7891.0,-0.61,5.0,4086.0,-0.482,5.0,2339.0,-0.474,8.0,1472.0,-0.553,10.0,948.0,-0.634,12.0,1059.0,-0.541,17.0,1117.0,-0.506,18.0,827.0,-0.461,17.0,[u'Akiva Goldsman'],Batman Robin
100000000.0,,Warner Bros.,40202379.0,41900000.0,Action / Adventure,PG-13,104,987.0,-0.215,35.0,568.0,-0.545,42.0,460.0,-0.532,53.0,,,,,,,,,,7485.0,23330515.0,3,3155.0,-0.578,6.0,1823.0,-0.578,11.0,1152.0,-0.674,18.0,1353.0,-0.556,23.0,990.0,-0.726,42.0,875.0,-0.356,51.0,621.0,-0.619,65.0,1148.0,5.55,31.0,,Catwoman
100000000.0,[u'Francis Lawrence'],Warner Bros.,75976178.0,154908550.0,Horror,R,121,1033.0,-0.427,42.0,810.0,1.46,24.0,1526.0,0.631,20.0,1121.0,-0.556,27.0,878.0,-0.488,39.0,,,,12951.0,38931540.0,2,5188.0,-0.599,3.0,2957.0,-0.477,6.0,2478.0,-0.341,8.0,2028.0,-0.37,9.0,1744.0,-0.482,13.0,1143.0,-0.602,16.0,1046.0,-0.548,23.0,873.0,-0.387,26.0,,Constantine
185000000.0,[u'Christopher Nolan'],Warner Bros.,534858444.0,469700000.0,Action / Adventure,PG-13,150,2013.0,-0.278,9.0,1560.0,-0.428,13.0,1749.0,-0.471,21.0,2084.0,-0.326,19.0,2007.0,-0.255,20.0,2509.0,-0.284,26.0,54653.0,238615211.0,1,26120.0,-0.529,1.0,15607.0,-0.427,1.0,10148.0,-0.392,1.0,6890.0,-0.383,2.0,4831.0,-0.388,4.0,4659.0,-0.134,3.0,2789.0,-0.439,3.0,2424.0,-0.261,6.0,"[u'David S. Goyer', u'Christopher Nolan', u'Jonathan Nolan']",The Dark Knight
