budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Ant-Man,130000000.0,[u'Peyton Reed'],Buena Vista,180202163.0,339243000.0,Action / Adventure,PG-13,117,1257.0,-0.42200000000000004,15,993.0,-0.614,22,944.0,-0.611,29,1027.0,-0.22399999999999998,34,1012.0,-0.298,39,1640.0,2.14,25,21087.0,81310529.0,1,9881.0,-0.53,1,6045.0,-0.47500000000000003,4,4275.0,-0.381,5,3637.0,-0.326,7,2825.0,-0.321,8,2468.0,-0.268,9,2766.0,0.013000000000000001,11,1568.0,-0.49700000000000005,12,"[u'Joe Cornish', u'Adam McKay', u'Paul Rudd', u'Edgar Wright']",Ant-Man
Avengers: Age of Ultron,250000000.0,[u'Joss Whedon'],Buena Vista,459005868.0,946408000.0,Action / Adventure,PG-13,141,2441.0,-0.438,12,2211.0,-0.48,17,2226.0,0.006999999999999999,18,2295.0,-0.34700000000000003,21,1317.0,-0.42600000000000005,27,1558.0,-0.304,30,55111.0,235655468.0,1,22805.0,-0.5860000000000001,1,11693.0,-0.48700000000000004,3,8849.0,-0.34,4,4853.0,-0.525,5,3759.0,-0.40700000000000003,8,2550.0,-0.408,8,2518.0,-0.239,9,3975.0,-0.38799999999999996,12,[u'Joss Whedon'],Avengers: Age of Ultron
Big Hero 6,165000000.0,"[u'Don Hall', u'Chris Williams']",Buena Vista,222527828.0,435290784.0,Animation,PG,108,1778.0,-0.512,14,2373.0,-0.376,18,1843.0,-0.526,24,1650.0,-0.33299999999999996,27,1694.0,-0.218,27,3408.0,1.49,19,20113.0,75643891.0,1,10596.0,-0.47100000000000003,2,9742.0,-0.18,2,6245.0,-0.359,3,3081.0,-0.535,5,2773.0,-0.21100000000000002,6,3971.0,0.065,8,5508.0,0.387,10,3009.0,-0.494,11,"[u'Robert L. Baird', u'Daniel Gerson', u'Jordan Roberts']",Big Hero 6
Blade,NA,NA,New Line,70087718.0,61095812.0,Action Horror,R,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10254.0,23810646.0,1,6362.0,-0.37200000000000005,1,5254.0,-0.166,2,2845.0,-0.455,3,1781.0,-0.378,7,1190.0,-0.37200000000000005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'David S. Goyer'],Blade
Blade II,54000000.0,[u'Guillermo del Toro'],New Line,82348319.0,72661713.0,Action Horror,R,117,1021.0,-0.502,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15478.0,41899433.0,1,6676.0,-0.569,4,3743.0,-0.47000000000000003,6,2605.0,-0.409,7,1695.0,-0.508,12,1589.0,-0.311,14,1131.0,-0.595,20,1057.0,-0.358,25,936.0,-0.36200000000000004,24,[u'David S. Goyer'],Blade II
Blade: Trinity,65000000.0,[u'David S. Goyer'],New Line,52411906.0,76493460.0,Action Horror,R,114,815.0,-0.131,44,766.0,-0.387,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7001.0,20387565.0,2,3550.0,-0.493,7,2559.0,-0.42600000000000005,13,1878.0,-0.30100000000000005,13,1278.0,-0.535,19,760.0,-0.721,29,726.0,-0.637,34,834.0,-0.15,39,747.0,-0.091,41,[u'David S. Goyer'],Blade: Trinity
Captain America: Civil War,250000000.0,"[u'Anthony Russo', u'Joe Russo']",Buena Vista,406243164.0,744400000.0,Action / Adventure,PG-13,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52846.0,223329078.0,1,21521.0,-0.593,1,10222.0,-0.525,2,7032.0,-0.44700000000000006,4,3634.0,-0.531,6,3058.0,-0.42700000000000005,9,2446.0,-0.454,10,2868.0,-0.384,13,3501.0,-0.405,16,"[u'Christopher Markus', u'Stephen McFeely']",Captain America: Civil War
Captain America: The First Avenger,140000000.0,[u'Joe Johnston'],Paramount,176654505.0,193915269.0,Action / Adventure,PG-13,125,1207.0,-0.465,24,1714.0,0.488,18,1473.0,-0.256,18,1309.0,-0.278,23,1142.0,-0.348,30,772.0,-0.489,39,24729.0,91867268.0,1,10314.0,-0.583,3,5408.0,-0.489,4,3835.0,-0.445,9,2963.0,-0.45799999999999996,12,2231.0,-0.461,16,2776.0,-0.083,13,1397.0,-0.615,17,1395.0,-0.329,20,"[u'Christopher Markus', u'Stephen McFeely']",Captain America: The First Avenger
Captain America: Winter Soldier,170000000.0,"[u'Anthony Russo', u'Joe Russo']",Buena Vista,259766572.0,454654931.0,Action / Adventure,PG-13,136,1932.0,-0.318,16,1946.0,-0.292,20,1785.0,-0.24300000000000002,26,2636.0,1.09,21,2131.0,-0.222,22,1699.0,-0.317,25,29865.0,117608171.0,1,14552.0,-0.513,1,8869.0,-0.408,1,5674.0,-0.395,2,3145.0,-0.513,4,2773.0,-0.251,5,2190.0,-0.336,7,1973.0,-0.455,12,1666.0,-0.668,14,"[u'Christopher Markus', u'Stephen McFeely']",Captain America: Winter Soldier
Daredevil,78000000.0,[u'Mark Steven Johnson'],Fox,102543518.0,76636200.0,Action / Adventure,PG-13,97,1449.0,-0.084,32,1158.0,-0.38,38,2452.0,1.71,24,2176.0,-0.264,27,1551.0,0.01,21,1451.0,-0.265,28,14803.0,51379549.0,1,6242.0,-0.578,2,4099.0,-0.389,3,2405.0,-0.49600000000000005,7,1936.0,-0.40399999999999997,9,1340.0,-0.527,13,1169.0,-0.5770000000000001,20,1133.0,-0.418,25,1724.0,-0.375,35,[u'Mark Steven Johnson'],Daredevil
Deadpool,58000000.0,[u'Tim Miller'],Fox,363070709.0,418504918.0,Action,R,106,1692.0,-0.52,15,1587.0,-0.29600000000000004,15,1388.0,-0.397,20,1062.0,-0.373,19,1069.0,-0.21300000000000002,22,956.0,-0.34500000000000003,28,50701.0,180394887.0,1,19813.0,-0.5910000000000001,1,10534.0,-0.449,1,6214.0,-0.446,3,4702.0,-0.304,3,3944.0,-0.264,5,3054.0,-0.381,7,2396.0,-0.33899999999999997,10,1943.0,-0.409,11,"[u'Rhett Reese', u'Paul Wernick']",Deadpool
Elektra,43000000.0,[u'Rob Bowman'],Fox,24409722.0,32271844.0,Action / Adventure,PG-13,97,521.0,-0.711,85,547.0,-0.47500000000000003,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5121.0,16407637.0,5,1620.0,-0.684,10,1175.0,-0.654,16,948.0,-0.7000000000000001,20,749.0,-0.682,36,616.0,-0.49,50,591.0,-0.1,51,735.0,-0.027999999999999997,52,609.0,-0.434,63,[u'Zak Penn'],Elektra
