budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
2 Guns,61000000.0,[u'Baltasar Kormakur'],Universal,75612460.0,56327951.0,Action Comedy,R,109,945.0,-0.529,34,1055.0,-0.07400000000000001,34,970.0,-0.252,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,12360.0,37388905.0,1,5370.0,-0.5650000000000001,5,3776.0,-0.48700000000000004,8,2666.0,-0.435,11,2805.0,-0.161,14,1640.0,-0.517,15,1365.0,-0.35100000000000003,15,1195.0,-0.275,17,995.0,-0.554,22,[u'Blake Masters'],2guns
30 Days of Night,30000000.0,[u'David Slade'],Sony / Columbia,39568996.0,35936977.0,Horror,R,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222.0,20618143.0,1,3362.0,-0.534,3,1915.0,-0.47700000000000004,5,1729.0,-0.41700000000000004,8,5620.0,-0.5860000000000001,20,761.0,-0.865,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Stuart Beattie'],300
300,65000000.0,[u'Zack Snyder'],Warner Bros.,210614939.0,245453242.0,Period Action,R,117,1673.0,-0.371,25,1936.0,-0.22,24,1402.0,0.8840000000000001,18,1124.0,-0.28800000000000003,20,1223.0,-0.079,17,1034.0,-0.425,25,31031.0,96288328.0,1,13931.0,-0.527,1,8129.0,-0.41500000000000004,2,5502.0,-0.38,3,4292.0,-0.306,6,2748.0,-0.488,8,2068.0,-0.47000000000000003,11,1932.0,-0.37700000000000006,15,1414.0,-0.685,18,"[u'Michael B. Gordon', u'Kurt Johnstad', u'Frank Miller', u'Zack Snyder']",300sequel
300: Rise of an Empire,110000000.0,[u'Noam Murro'],Warner Bros.,106580051.0,231000000.0,Period Action,R,102,604.0,-0.34600000000000003,41,2091.0,1.81,25,693.0,-0.848,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,17062.0,59205553.0,1,7416.0,-0.563,2,3811.0,-0.546,5,2196.0,-0.514,8,1300.0,-0.6459999999999999,12,1276.0,-0.669,17,1258.0,-0.503,25,1022.0,-0.004,24,750.0,-0.469,31,"[u'Kurt Johnstad', u'Zack Snyder']",30daysofnight
A history of violence,32000000.0,NA,New Line,31504633.0,29236194.0,Crime Drama,R,96,1230.0,-0.508,44,899.0,0.079,40,571.0,-0.159,44,619.0,-0.085,39,1112.0,-0.032,48,1590.0,0.43,43,54907.0,768704.0,18,8062.0,13.05,4,5367.0,-0.334,9,3588.0,-0.32799999999999996,8,2744.0,-0.258,9,1884.0,-0.469,14,1535.0,-0.43,19,1480.0,-0.58,25,943.0,-0.655,40,NA,americansplendor
Alien vs Predator,60000000.0,[u'Paul W.S. Anderson'],Fox,80282231.0,92262423.0,Sci-Fi Horror,PG-13,87,893.0,0.027000000000000003,34,700.0,-0.305,40,495.0,-0.332,40,378.0,-0.14400000000000002,49,507.0,-0.49200000000000005,60,460.0,-0.585,65,14890.0,50552611.0,1,4914.0,-0.669,4,2287.0,-0.606,7,1894.0,-0.441,15,1119.0,-0.634,17,846.0,-0.6709999999999999,24,733.0,-0.47200000000000003,33,725.0,-0.34299999999999997,35,854.0,-0.061,35,[u'Paul W.S. Anderson'],avp
Alien vs Predator Requiem,NA,"[u'Colin Strause', u'Greg Strause']",Fox,41797066.0,87087428.0,Sci-Fi Horror,R,86,513.0,-0.34600000000000003,81,402.0,-0.503,90,474.0,-0.5660000000000001,106,289.0,-0.564,115,NA,NA,NA,NA,NA,NA,6029.0,15740822.0,8,2297.0,-0.618,11,1677.0,-0.615,18,1151.0,-0.7959999999999999,28,802.0,-0.743,41,655.0,-0.107,44,753.0,-0.052000000000000005,51,663.0,-0.508,61,588.0,-0.533,71,[u'Shane Salerno'],avp2
American Splendor,NA,NA,Fine Line,6010990.0,1975094.0,Comedy,R,101,978.0,-0.439,49,867.0,-0.341,58,922.0,-0.003,54,807.0,-0.08,55,1570.0,0.23500000000000001,44,1168.0,-0.29300000000000004,52,43766.0,262596.0,38,21098.0,1.57,26,14898.0,0.9420000000000001,20,8886.0,-0.40399999999999997,23,4041.0,0.406,16,2634.0,-0.37700000000000006,19,2177.0,-0.43100000000000005,24,1511.0,-0.28300000000000003,28,1338.0,-0.46399999999999997,38,NA,blackmask
Black Mask,NA,NA,Artisan,12504289.0,NA,Action,R,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5769.0,5647692.0,5,2285.0,-0.6,8,1995.0,-0.138,9,1263.0,-0.409,15,1072.0,-0.44700000000000006,17,1019.0,-0.502,26,551.0,NA,38,697.0,-0.14300000000000002,40,565.0,-0.59,57,NA,buffythevampireslayer
Buffy the Vampire Slayer,NA,NA,Fox,16624456.0,NA,Horror Comedy,PG-13,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3683.0,7214221.0,5,2041.0,-0.44,10,1633.0,-0.539,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Joss Whedon'],bulletproofmonk
