RT_audience_perc,RT_audience_rating,RT_consensus,RT_perc,RT_rating,awards,imdb_id,imdb_rating,metascore,plot,poster,release_date,release_year,Title
66,3.6,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",64,6.0,2 wins.,tt1272878,6.7,55,"Robert Trench, an undercover DEA agent, takes advantage of gunman Michael Stigman's idea to rob a bank to bust him and a mob boss. However, it proves too successful with much more money seized than anticipated with Trench's forces not stopping the getaway. Complicating things still more, Stigman turns out to be a Naval Intelligence agent who shoots Trench and takes the money. The interservice debacle suddenly finds Trench and Stigman in a bloody web of corrupt clandestine rivalries as they are hunted, blackmailed and isolated for the money on both sides of the law. Now, the fugitives must work together to find a way out of this situation with no one to turn to but themselves.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg,02 Aug 2013,2013,2 Guns
89,4.1,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.",60,6.1,16 wins & 42 nominations.,tt0416449,7.7,52,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX300.jpg,09 Mar 2007,2006,300
52,3.3,"It's bound to hit some viewers as an empty exercise in stylish gore, and despite a gonzo starring performance from Eva Green, 300: Rise of an Empire is a step down from its predecessor.",43,4.9,1 win & 5 nominations.,tt1253863,6.2,48,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwNTU2MjAwMDdeQTJeQWpwZ15BbWU3MDk2Njc2Njk@._V1_SX300.jpg,07 Mar 2014,2014,300: Rise of an Empire
56,3.2,"While 30 Days of Night offers a few thrills, it ultimately succumbs to erratic execution.",51,5.5,12 nominations.,tt0389722,6.6,53,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MDE5ODIxMF5BMl5BanBnXkFtZTcwMjMyMTU1MQ@@._V1_SX300.jpg,19 Oct 2007,2007,30 Days of Night
86,3.7,"Exhilarating both stylistically and for its entertaining, moving portrayal of an everyman, American Splendor is a portrait of a true underground original.",94,8.3,Nominated for 1 Oscar. Another 31 wins & 47 nominations.,tt0305206,7.5,90,"Harvey Pekar is file clerk at the local VA hospital. His interactions with his co-workers offer some relief from the monotony, and their discussions encompass everything from music to the decline of American culture to new flavors of jellybeans and life itself. At home, Harvey fills his days with reading, writing and listening to jazz. His apartment is filled with thousands of books and LPs, and he regularly scours Cleveland's thrift stores and garage sales for more, savoring the rare joy of a 25-cent find. It is at one of these junk sales that Harvey meets Robert Crumb, a greeting card artist and music enthusiast. When, years later, Crumb finds international success for his underground comics, the idea that comic books can be a valid art form for adults inspires Harvey to write his own brand of comic book. An admirer of naturalist writers like Theodore Dreiser, Harvey makes his American Splendor a truthful, unsentimental record of his working-class life, a warts-and-all self portrait. First published in 1976, the comic earns Harvey cult fame throughout the 1980s and eventually leads him to the sardonic Joyce Barber, a partner in a Delaware comic book store who end ups being Harvey's true soul mate as they experience the bizarre byproducts of Harvey's cult celebrity stature.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MjYxNjY1MV5BMl5BanBnXkFtZTcwNDkwMjAwMQ@@._V1_SX300.jpg,12 Sep 2003,2003,American Splendor
39,3.0,Gore without scares and cardboard cut-out characters make this clash of the monsters a dull sit.,21,4.0,2 wins & 4 nominations.,tt0370263,5.6,29,"When a private satellite encounters an unidentified source of heat in Antarctica and it is found to be a pyramid buried deep underground , a search team comprising of top-of-the-line archaeologists and engineers is sent to Antarctica to find out more . Once there , the team comes across signs which indicate that the place is inhabited by an unknown alien species . It is not long before the aliens begin to hunt the team members . At the same time , a trio of coming-of-age Predators have arrived to collect the skulls of the aliens as trophies , and the humans are caught between a deadly battle between the two warring species .",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_SX300.jpg,13 Aug 2004,2004,Alien vs Predator
31,2.7,"The increased gore and violence over the first Alien vs. Predator can't excuse Requiem's disorientating editing, excessively murky lighting, and lack of new ideas.",12,3.1,4 nominations.,tt0758730,4.7,29,"Warring alien and predator races descend on a small town, where unsuspecting residents must band together for any chance of survival.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_SX300.jpg,25 Dec 2007,2007,Alien vs Predator Requiem
50,3.1,"Stylish setting and masterfully choreographed fight scenes, but the story is low on credibility and high on excessive violence and gore.",48,4.9,3 nominations.,tt0115693,6.1,N/A,"Micheal, a former test subject of a project to create supersoldiers, is forced to escape with his comrades after the project was cancelled. Months later, he is trying to have a quiet life as a librarian with a tough cop as his best friend. However, a string of vicious gangland murders begins that has all the markings of his former compatriots who seem to have turned to violent crime. Realizing that the police are helpless to fight these soldiers, Micheal decides to take them on himself. Donning a mask to protect his identity, Micheal must fight these powerful villians as the mysterious superhero known only as Black Mask.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1ODIyMDExM15BMl5BanBnXkFtZTcwNjY5MDMyMQ@@._V1_SX300.jpg,14 May 1999,1996,Black Mask
43,2.8,N/A,35,4.2,1 nomination.,tt0103893,5.6,48,"Buffy Summers has the lifestyle any young woman could want. Cheerleading, dating the captain of the basketball team, and copious amounts of time spent shopping with friends. She had no idea of her true calling until a mysterious man named Merrick approached her and told her that she is the Slayer; one woman called to defend the world from vampires. Reluctant to concede to the fact, Buffy soon learns that Merrick speaks the truth and so begins to take her new life seriously while trying to maintain the sense of normality her life had once been. With her best friends slowly abandoning her, Buffy finds solace in the town outcast, Pike, who knows very well the terrors that have arisen. Together, they combat the forces of the old and powerful vampire, Lothos, who has his eyes set on Buffy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMTkyNTc2MF5BMl5BanBnXkFtZTcwMDQ4ODAwMQ@@._V1_SX300.jpg,31 Jul 1992,1992,Buffy the Vampire Slayer
38,2.9,Venerable action star Chow Yun-Fat is the only saving grace in this silly action flick that more often than not resembles a commercial in style.,23,4.3,1 nomination.,tt0245803,5.5,40,"Based on the very underground comic book, a Tibetan monk becomes a mentor to a young street kid whom he can teach to protect a scroll.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwODkxNzE4NzVeQTJeQWpwZ15BbWU3MDY5NDYwMzQ@._V1_SX300.jpg,16 Apr 2003,2003,Bulletproof Monk
