RT_audience_perc,RT_audience_rating,RT_consensus,RT_perc,RT_rating,awards,imdb_id,imdb_rating,metascore,plot,poster,release_date,release_year,Title
84,3.5,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",72,6.6,Won 1 Oscar. Another 9 wins & 22 nominations.,tt0096895,7.6,69,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1_SX300.jpg,23 Jun 1989,1989,Batman
90,4.3,"The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.",87,8.0,Nominated for 1 BAFTA Film Award. Another 38 wins & 96 nominations.,tt1345836,8.5,78,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,20 Jul 2012,2012,The Dark Knight Rises
94,3.9,"Brooding and dark, but also exciting and smart, Batman Begins is a film that understands the essence of one of the definitive superheroes.",84,7.7,Nominated for 1 Oscar. Another 14 wins & 66 nominations.,tt0372784,8.3,70,"When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as 'Batman'. But it doesn't stay quiet for long.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX300.jpg,15 Jun 2005,2005,Batman Begins
33,2.9,"Loud, excessively busy, and often boring, Batman Forever nonetheless has the charisma of Jim Carrey and Tommy Lee Jones to offer mild relief.",40,5.2,Nominated for 3 Oscars. Another 9 wins & 21 nominations.,tt0112462,5.4,51,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face incorrectly believes Batman caused the courtroom accident which left him disfigured on one side; he has unleashed a reign of terror on the good people of Gotham. Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler he perfects a device for draining information from all the brains in Gotham, including Bruce Wayne's knowledge of his other identity. Batman/Wayne is/are the love focus of Dr. Chase Meridan. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin the Boy Wonder.",https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,16 Jun 1995,1995,Batman Forever
88,3.6,"Stylish and admirably respectful of the source material, Batman: Mask of the Phantasm succeeds where many of the live-action Batman adaptations have failed.",82,6.8,1 nomination.,tt0106364,7.9,N/A,"Batman, the costumed crime-fighter who prowls the night skies in Gotham City, soon finds there's another vigilante in town knocking off prominent mob figures. Despite the scythe-like blade for a hand, a mechanical voice and the cloud of smoke that follows the figure wherever it goes, the police and outraged officials mistake the homicidal crusader for Batman himself and demand that the city's longtime hero be brought to justice. Meanwhile, Andrea Beaumont returns to town. She is the lost love of Bruce Wayne, the billionaire playboy who is Batman's alter ego, and was an integral part of Wayne's decision ten years earlier to don the cape and cowl. Now, she is back in his life and is no less a disruption than the return of his old archenemy, The Joker, who has a stake in seeing the annihilation of this new vigilante, whoever it proves to be.",https://images-na.ssl-images-amazon.com/images/M/MV5BODE0YTBiMjQtNWQyZC00YTNjLWJmYjAtMWUwNzI4NGVlZTAzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,25 Dec 1993,1993,Batman: Mask of the Phantasm
N/A,N/A,"Director Tim Burton's dark, brooding atmosphere, Michael Keaton's work as the tormented hero, and the flawless casting of Danny DeVito as The Penguin and Christopher Walken as, well, Christopher Walken make the sequel better than the first.",80,6.7,Nominated for 2 Oscars. Another 2 wins & 16 nominations.,tt0103776,7.0,68,In the sewers of gotham city to the rooftops of the gotham city the penguin wants to know where he came from well in his villain ways catwoman plans to kill rich man of gotham max shreak but as he battles with millionaire Bruce Wayne both ladies men have their own secrets Bruce Wayne is back as Bat man trying to stop the penguin Max is helping penguin steal gotham city while selina Kyle/catwoman tries to help penguin not knowing her man murder target also her murder is helping him but all four men have their goals taking gotham from crime winning gotham city assassination for two men and more money to be gotham citys number one rich man.,https://images-na.ssl-images-amazon.com/images/M/MV5BODM2OTc0Njg2OF5BMl5BanBnXkFtZTgwMDA4NjQxMTE@._V1_SX300.jpg,19 Jun 1992,1992,Batman Returns
16,2.5,Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.,11,3.7,10 wins & 21 nominations.,tt0118688,3.7,28,"Batman and Robin are back working side-by-side to stop the villains of Gotham City, but is there tension appearing between them, especially when one villainess who calls herself Poison Ivy can make anyone fall in love with her...literally. Along with Poison Ivy, the icy Mr. Freeze is freezing anything which gets in his way from achieving his goal.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGQ5YTM1NmMtYmIxYy00N2VmLWJhZTYtN2EwYTY3MWFhOTczXkEyXkFqcGdeQXVyNTA2NTI0MTY@._V1_SX300.jpg,20 Jun 1997,1997,Batman Robin
18,2.2,"Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.",9,3.1,8 wins & 6 nominations.,tt0327554,3.3,27,"Catwoman is the story of shy, sensitive artist Patience Philips, a woman who can't seem to stop apologizing for her own existence. She works as a graphic designer for Hedare Beauty, a mammoth cosmetics company on the verge of releasing a revolutionary anti-aging product. When Patience inadvertently happens upon a dark secret her employer is hiding, she finds herself in the middle of a corporate conspiracy. What happens next changes Patience forever. In a mystical twist of fate, she is transformed into a woman with the strength, speed, agility and ultra-keen senses of a cat. With her newfound prowess and feline intuition, Patience becomes Catwoman, a sleek and stealthy creature balancing on the thin line between good and bad. Like any wildcat, she's dangerous, elusive and untamed. Her adventures are complicated by a burgeoning relationship with Tom Lone, a cop who has fallen for Patience but cannot shake his fascination with the mysterious Catwoman, who appears to be responsible for a string of crime sprees plaguing the city.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzM0NDAzOF5BMl5BanBnXkFtZTcwMDY3MDYyMQ@@._V1_SX300.jpg,23 Jul 2004,2004,Catwoman
72,3.5,"Despite solid production values and an intriguing premise, Constantine lacks the focus of another spiritual shoot-em-up, The Matrix.",46,5.5,2 wins & 9 nominations.,tt0360486,6.9,50,"Supernatural detective John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NDk5NTUyN15BMl5BanBnXkFtZTYwNzUyMDA3._V1_SX300.jpg,18 Feb 2005,2005,Constantine
94,4.4,"Dark, complex and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",94,8.6,Won 2 Oscars. Another 146 wins & 142 nominations.,tt0468569,9.0,82,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,18 Jul 2008,2008,The Dark Knight
64,3.6,"Suicide Squad boasts a talented cast and a little more humor than previous DCEU efforts, but they aren't enough to save the disappointing end result from a muddled plot, thinly written characters, and choppy directing.",26,4.7,5 wins & 12 nominations.,tt1386697,6.4,40,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_SX300.jpg,05 Aug 2016,2016,Suicide Squad
45,3.1,"Noisy, overproduced, and thinly written, Green Lantern squanders an impressive budget and decades of comics mythology.",26,4.6,2 wins & 5 nominations.,tt1133985,5.6,39,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_SX300.jpg,17 Jun 2011,2011,Green Lantern
20,2.4,"Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.",12,3.5,1 win & 4 nominations.,tt1075747,4.7,33,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NzYxNjQyMF5BMl5BanBnXkFtZTcwOTQ0OTI0Mw@@._V1_SX300.jpg,18 Jun 2010,2010,Jonah Hex
53,3.0,"The Losers is loud, fast, and unrelentingly violent -- but it's also funny and well-acted, which will make all the difference for some action fans.",49,5.3,1 win & 7 nominations.,tt0480255,6.4,44,"A tale of double cross and revenge, centered upon the members of an elite U.S. Special Forces unit sent into the Bolivian jungle on a search and destroy mission. The team-Clay, Jensen, Roque, Pooch and Cougar -find themselves the target of a lethal betrayal instigated from inside by a powerful enemy known only as Max. Presumed dead, the group makes plans to even the score when they're joined by the mysterious Aisha, a beautiful operative with her own agenda. Working together, they must remain deep undercover while tracking the heavily-guarded Max, a ruthless man bent on embroiling the world in a new high-tech global war.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjU3MTU0NDI4Nl5BMl5BanBnXkFtZTcwMTE0NDMyMw@@._V1_SX300.jpg,23 Apr 2010,2010,The Losers
63,3.6,"While it's still hard to argue with its impeccable cast or the fun they often seem to be having, Red 2 replaces much of the goofy fun of its predecessor with empty, over-the-top bombast.",43,5.4,3 nominations.,tt1821694,6.7,47,"Retired CIA agent Frank Moses is in love with Sarah Ross and enjoying their normal life. Out of the blue, Marvin Boggs meets Frank in the supermarket and tells that Wikileaks has released the information that they had participated and know the whereabouts of the Nightshade, a portable nuclear weapon that was smuggled in pieces and hidden in Russia. Now the top agents in the world are under contract to seek them out to discover where Nightshade is. The trio travels to Paris and teams-up with the Russian Katja to track down the former Russian Agent 'The Frog' to get more information about the operation. They learn that the brilliant inventor Dr. Edward Bailey might know where the weapon is. They discover that Bailey has been interned in an asylum in London by the MI-6 for thirty-two years and the British Victoria joins the team. They rescue Bailey and find that the nuclear device is hidden in the Kremlin. Soon the dangerous South Korean Han joins the group expecting to retrieve the weapon. But dangerous killer Jack Horton is hunting Frank down and will not stop until he recovers the nuclear bomb.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2ODQ4ODY3Nl5BMl5BanBnXkFtZTcwNTc2NzE1OQ@@._V1_SX300.jpg,19 Jul 2013,2013,Red 2
72,3.7,"It may not be the killer thrill ride you'd expect from an action movie with a cast of this caliber, but Red still thoroughly outshines most of its big-budget counterparts with its wit and style.",71,6.3,Nominated for 1 Golden Globe. Another 3 wins & 17 nominations.,tt1245526,7.1,60,"Frank (Bruce Willis) is retired, bored, and lonely living off his government pension in a nondescript suburb in an equally nondescript house. The only joy in Frank's life is his calls to the government pension processing center when he gets to talk to his case worker, Sarah (Mary-Louis Parker). Sarah is as bored and lonely as Frank and marks her conversations with the unknown Frank and her spy novels as the only things fun in her life. When something in Frank's past forces Frank back into his old line of work and puts an unwitting Sarah in the middle of the intrigue, Frank and Sarah begin a journey into Frank's past and the people he used to work with. Like Frank they are all RED ... Retired Extremely Dangerous.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,15 Oct 2010,2010,Red
15,1.8,"Steel is a badly-acted movie that indulges not only in superhero cliches, but also the sappy TV-movie-of-the-week ones.",12,3.0,1 nomination.,tt0120207,2.8,N/A,"John Henry Irons designs weapons for the military. When his project to create weapons that harmlessly neutralize soldiers is sabotaged, he leaves in disgust. When he sees gangs are using ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3ODM0OTYxOF5BMl5BanBnXkFtZTcwNjEwMjgxMQ@@._V1_SX300.jpg,15 Aug 1997,1997,Steel
26,2.3,"The effects are cheesy and Supergirl's wide-eyed, cheery heroine simply isn't interesting to watch for an hour and a half.",7,3.2,3 nominations.,tt0088206,4.3,N/A,"After losing a powerful orb, Kara, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMjY2NDkyN15BMl5BanBnXkFtZTYwMzI2OTA5._V1_SX300.jpg,21 Nov 1984,1984,Supergirl
86,3.5,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",93,8.0,Nominated for 3 Oscars. Another 15 wins & 17 nominations.,tt0078346,7.3,86,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",https://images-na.ssl-images-amazon.com/images/M/MV5BOWU0ZGE4YjMtNmY5Yy00M2RhLWE0ZGQtZjViMTBhZTE5MWM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,15 Dec 1978,1978,Superman
61,3.3,Bryan Singer's reverent and visually decadent adaptation gives the Man of Steel welcome emotional complexity. The result: a satisfying stick-to-your-ribs adaptation.,76,7.0,Nominated for 1 Oscar. Another 12 wins & 38 nominations.,tt0348150,6.1,72,"Following a mysterious absence of several years, the Man of Steel comes back to Earth in the epic action-adventure Superman Returns, a soaring new chapter in the saga of one of the world's most beloved superheroes. While an old enemy plots to render him powerless once and for all, Superman faces the heartbreaking realization that the woman he loves, Lois Lane, has moved on with her life. Or has she? Superman's bittersweet return challenges him to bridge the distance between them while finding a place in a society that has learned to survive without him. In an attempt to protect the world he loves from cataclysmic destruction, Superman embarks on an epic journey of redemption that takes him from the depths of the ocean to the far reaches of outer space.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_SX300.jpg,28 Jun 2006,2006,Superman Returns
75,3.2,"The humor occasionally stumbles into slapstick territory, and the special effects are dated, but Superman II meets, if not exceeds, the standard set by its predecessor.",89,7.5,3 wins & 5 nominations.,tt0081573,6.8,87,"Picking up where ""Superman: The Movie"" left off, three criminals, General Zod (Terence Stamp), Ursa, (Sarah Douglas), and Non (Jack O'Halloran) from the planet Krypton are released from the Phantom Zone by a nuclear explosion in space. They descend upon Earth where they could finally rule. Superman, meanwhile, is in love with Lois Lane (Margot Kidder), who finds out who he really is. Lex Luthor (Gene Hackman) escapes from prison and is determined to destroy Superman by joining forces with the three criminals.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGQ2MjNiNDAtMTYwMy00MDk0LTkxZmYtNzBmNDQyMGYyN2I2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,19 Jun 1981,1980,Superman II
75,3.9,Man of Steel's exhilarating action and spectacle can't fully overcome its detours into generic blockbuster territory.,55,6.2,7 wins & 42 nominations.,tt0770828,7.1,55,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,14 Jun 2013,2013,Man of Steel
64,3.6,Batman v Superman: Dawn of Justice smothers a potentially powerful story -- and some of America's most iconic superheroes -- in a grim whirlwind of effects-driven action.,28,4.9,3 wins & 14 nominations.,tt2975590,6.7,44,"The general public is concerned over having Superman on their planet and letting the ""Dark Knight"" - Batman - pursue the streets of Gotham. While this is happening, a power-phobic Batman tries to attack Superman.,Meanwhile Superman tries to settle on a decision, and Lex Luthor, the criminal mastermind and millionaire, tries to use his own advantages to fight the ""Man of Steel"".",https://images-na.ssl-images-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,25 Mar 2016,2016,Batman v Superman: Dawn of Justice
23,2.7,"When not overusing sight gags, slapstick, and Richard Pryor, Superman III resorts to plot points rehashed from the previous Superman flicks.",26,4.5,2 wins & 6 nominations.,tt0086393,4.9,42,"Wealthy businessman Ross Webster (Robert Vaughn)discovers the hidden talents of Gus Gorman (Richard Pryor), a mischievous computer genius. Ross decides to abuse his talents, in a way to help Webster with his plans for economic control. When the man of steel interferes, something must be done about Supes. When Gus' synthetic Kryptonite fails to kill Superman, it turns him in an evil incarnation of his former self. The tar-laced Kryptonite pits man against himself, setting up the Clark vs. Superman battle.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzI3ZDllMTctNmI2Mi00OGQ4LTk2ZTQtYTJhMjA5ZGI2YmRkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,17 Jun 1983,1983,Superman III
16,2.4,"The Superman series bottoms out here: the action is boring, the special effects look cheaper, and none of the actors appear interested in where the plot's going.",12,2.8,2 wins & 5 nominations.,tt0094074,3.6,22,"Superman does a lot in his newest adventure. Archvillain Lex Luthor, determined to make the world safe for nuclear arms merchants, creates a new being to challenge the Man of Steel: the radiation-charged Nuclear Man. The two super-powered foes clash in an explosive screen extranvaganza that sees Superman save the Statue of Liberty, repulse a volcanic eruption of Mount Etna, rebuild the demolished Great Wall of China and perform many more spetactular feats.",https://images-na.ssl-images-amazon.com/images/M/MV5BMmIwZWY1YTYtNDlhOS00NDRmLWI4MzItNjk2NDc1N2NhYzNlXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,24 Jul 1987,1987,Superman IV: The Quest for Peace
90,3.9,"Visually stunning and thought-provoking, V For Vendetta's political pronouncements may rile some, but its story and impressive set pieces will nevertheless entertain.",73,6.8,7 wins & 27 nominations.,tt0434409,8.2,62,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_SX300.jpg,17 Mar 2006,2005,V for Vendetta
71,3.4,"Gritty and visually striking, Watchmen is a faithful adaptation of Alan Moore's graphic novel, but its complex narrative structure may make it difficult for it to appeal to viewers not already familiar with the source material.",65,6.3,12 wins & 21 nominations.,tt0409459,7.6,56,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so discover a deeper and far more diabolical plot.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg,06 Mar 2009,2009,Watchmen
