budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
,[u'Marc Webb'],Sony / Columbia,202853933.0,506128390.0,Action / Adventure,PG-13,142,2682.0,0.261,17.0,2161.0,-0.233,20.0,1768.0,-0.351,28.0,1558.0,-0.244,35.0,1219.0,-0.326,36.0,930.0,-0.507,48.0,25601.0,110700722.0,1,10330.0,-0.597,2.0,5446.0,-0.513,3.0,3752.0,-0.455,5.0,2524.0,-0.542,7.0,2055.0,-0.44,11.0,2119.0,-0.525,12.0,2272.0,-0.318,14.0,2126.0,-0.377,22.0,"[u'Alex Kurtzman', u'Roberto Orci']",The Amazing Spider-Man 2
130000000.0,[u'Peyton Reed'],Buena Vista,180202163.0,339109802.0,Action / Adventure,PG-13,117,1257.0,-0.422,15.0,993.0,-0.614,22.0,944.0,-0.611,29.0,1027.0,-0.224,34.0,1012.0,-0.298,39.0,1640.0,2.14,25.0,21087.0,81310529.0,1,9881.0,-0.53,1.0,6045.0,-0.475,4.0,4275.0,-0.381,5.0,3637.0,-0.326,7.0,2825.0,-0.321,8.0,2468.0,-0.268,9.0,2766.0,0.013,11.0,1568.0,-0.497,12.0,"[u'Joe Cornish', u'Adam McKay', u'Paul Rudd', u'Edgar Wright']",Ant-Man
220000000.0,[u'Joss Whedon'],Buena Vista,623357910.0,895455078.0,Action / Adventure,PG-13,142,2935.0,-0.52,12.0,2913.0,-0.341,12.0,2113.0,-0.519,15.0,2326.0,-0.17,17.0,2232.0,-0.228,22.0,1933.0,-0.365,26.0,62088.0,270019373.0,1,30352.0,-0.511,1.0,17572.0,-0.434,1.0,14237.0,-0.253,2.0,7789.0,-0.488,3.0,5381.0,-0.411,5.0,5174.0,-0.207,7.0,4859.0,-0.189,8.0,5415.0,-0.365,11.0,"[u'Zak Penn', u'Joss Whedon']",Marvel's The Avengers
250000000.0,[u'Joss Whedon'],Buena Vista,459005868.0,946397826.0,Action / Adventure,PG-13,141,2441.0,-0.438,12.0,2211.0,-0.48,17.0,2226.0,0.007,18.0,2295.0,-0.347,21.0,1317.0,-0.426,27.0,1558.0,-0.304,30.0,55111.0,235655468.0,1,22805.0,-0.586,1.0,11693.0,-0.487,3.0,8849.0,-0.34,4.0,4853.0,-0.525,5.0,3759.0,-0.407,8.0,2550.0,-0.408,8.0,2518.0,-0.239,9.0,3975.0,-0.388,12.0,[u'Joss Whedon'],Avengers: Age of Ultron
,,New Line,70087718.0,61095812.0,Action Horror,R,120,,,,,,,,,,,,,,,,,,,10254.0,23810646.0,1,6362.0,-0.372,1.0,5254.0,-0.166,2.0,2845.0,-0.455,3.0,1781.0,-0.378,7.0,1190.0,-0.372,9.0,,,,,,,,,,[u'David S. Goyer'],Blade
54000000.0,[u'Guillermo del Toro'],New Line,82348319.0,72661713.0,Action Horror,R,117,1021.0,-0.502,29.0,,,,,,,,,,,,,,,,15478.0,41899433.0,1,6676.0,-0.569,4.0,3743.0,-0.47,6.0,2605.0,-0.409,7.0,1695.0,-0.508,12.0,1589.0,-0.311,14.0,1131.0,-0.595,20.0,1057.0,-0.358,25.0,936.0,-0.362,24.0,[u'David S. Goyer'],Blade II
65000000.0,[u'David S. Goyer'],New Line,52411906.0,76493460.0,Action Horror,R,114,815.0,-0.131,44.0,766.0,-0.387,52.0,,,,,,,,,,,,,7001.0,20387565.0,2,3550.0,-0.493,7.0,2559.0,-0.426,13.0,1878.0,-0.301,13.0,1278.0,-0.535,19.0,760.0,-0.721,29.0,726.0,-0.637,34.0,834.0,-0.15,39.0,747.0,-0.091,41.0,[u'David S. Goyer'],Blade: Trinity
140000000.0,[u'Joe Johnston'],Paramount,176654505.0,193915269.0,Action / Adventure,PG-13,125,1207.0,-0.465,24.0,1714.0,0.488,18.0,1473.0,-0.256,18.0,1309.0,-0.278,23.0,1142.0,-0.348,30.0,772.0,-0.489,39.0,24729.0,91867268.0,1,10314.0,-0.583,3.0,5408.0,-0.489,4.0,3835.0,-0.445,9.0,2963.0,-0.458,12.0,2231.0,-0.461,16.0,2776.0,-0.083,13.0,1397.0,-0.615,17.0,1395.0,-0.329,20.0,"[u'Christopher Markus', u'Stephen McFeely']",Captain America: The First Avenger
78000000.0,[u'Mark Steven Johnson'],Fox,102543518.0,76636200.0,Action / Adventure,PG-13,97,1449.0,-0.084,32.0,1158.0,-0.38,38.0,2452.0,1.71,24.0,2176.0,-0.264,27.0,1551.0,0.01,21.0,1451.0,-0.265,28.0,14803.0,51379549.0,1,6242.0,-0.578,2.0,4099.0,-0.389,3.0,2405.0,-0.496,7.0,1936.0,-0.404,9.0,1340.0,-0.527,13.0,1169.0,-0.577,20.0,1133.0,-0.418,25.0,1724.0,-0.375,35.0,[u'Mark Steven Johnson'],Daredevil
58000000.0,[u'Tim Miller'],Fox,363070709.0,420042270.0,Action,R,106,1692.0,-0.52,15.0,1587.0,-0.296,16.0,1388.0,-0.397,20.0,1062.0,-0.373,19.0,1069.0,-0.213,22.0,956.0,-0.345,28.0,50701.0,180394887.0,1,19813.0,-0.591,1.0,10534.0,-0.449,1.0,6214.0,-0.446,3.0,4702.0,-0.304,3.0,3944.0,-0.264,5.0,3054.0,-0.381,7.0,2396.0,-0.339,10.0,1943.0,-0.409,11.0,"[u'Rhett Reese', u'Paul Wernick']",Deadpool
165000000.0,"[u'Don Hall', u'Chris Williams']",Buena Vista,222527828.0,435290784.0,Animation,PG,108,1778.0,-0.512,14.0,2373.0,-0.376,18.0,1843.0,-0.526,24.0,1650.0,-0.333,27.0,1694.0,-0.218,27.0,3408.0,1.49,19.0,20113.0,75643891.0,1,10596.0,-0.471,2.0,9742.0,-0.18,2.0,6245.0,-0.359,3.0,3081.0,-0.535,5.0,2773.0,-0.211,6.0,3971.0,0.065,8.0,5508.0,0.387,10.0,3009.0,-0.494,11.0,"[u'Robert L. Baird', u'Daniel Gerson', u'Jordan Roberts']",Big Hero 6
