budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
61000000.0,[u'Baltasar Kormakur'],Universal,75612460.0,56327951.0,Action Comedy,R,109,945.0,-0.529,34.0,1055.0,-0.074,34.0,970.0,-0.252,39.0,,,,,,,,,,12360.0,37388905.0,1,5370.0,-0.565,5.0,3776.0,-0.487,8.0,2666.0,-0.435,11.0,2805.0,-0.161,14.0,1640.0,-0.517,15.0,1365.0,-0.351,15.0,1195.0,-0.275,17.0,995.0,-0.554,22.0,[u'Blake Masters'],2 Guns
65000000.0,[u'Zack Snyder'],Warner Bros.,210614939.0,245453242.0,Period Action,R,117,1673.0,-0.371,25.0,1936.0,-0.22,24.0,1402.0,0.884,18.0,1124.0,-0.288,20.0,1223.0,-0.079,17.0,1034.0,-0.425,25.0,31031.0,96288328.0,1,13931.0,-0.527,1.0,8129.0,-0.415,2.0,5502.0,-0.38,3.0,4292.0,-0.306,6.0,2748.0,-0.488,8.0,2068.0,-0.47,11.0,1932.0,-0.377,15.0,1414.0,-0.685,18.0,"[u'Michael B. Gordon', u'Kurt Johnstad', u'Frank Miller', u'Zack Snyder']",300
110000000.0,[u'Noam Murro'],Warner Bros.,106580051.0,231000000.0,Period Action,R,102,604.0,-0.346,41.0,2091.0,1.81,25.0,693.0,-0.848,56.0,,,,,,,,,,17062.0,59205553.0,1,7416.0,-0.563,2.0,3811.0,-0.546,5.0,2196.0,-0.514,8.0,1300.0,-0.646,12.0,1276.0,-0.669,17.0,1258.0,-0.503,25.0,1022.0,-0.004,24.0,750.0,-0.469,31.0,"[u'Kurt Johnstad', u'Zack Snyder']",300: Rise of an Empire
30000000.0,[u'David Slade'],Sony / Columbia,39568996.0,35936977.0,Horror,R,113,,,,,,,,,,,,,,,,,,,7222.0,20618143.0,1,3362.0,-0.534,3.0,1915.0,-0.477,5.0,1729.0,-0.417,8.0,5620.0,-0.586,20.0,761.0,-0.865,32.0,,,,,,,,,,[u'Stuart Beattie'],30 Days of Night
,,Fine Line,6010990.0,1975094.0,Comedy,R,101,978.0,-0.439,49.0,867.0,-0.341,58.0,922.0,-0.003,54.0,807.0,-0.08,55.0,1570.0,0.235,44.0,1168.0,-0.293,52.0,43766.0,262596.0,38,21098.0,1.57,26.0,14898.0,0.942,20.0,8886.0,-0.404,23.0,4041.0,0.406,16.0,2634.0,-0.377,19.0,2177.0,-0.431,24.0,1511.0,-0.283,28.0,1338.0,-0.464,38.0,,American Splendor
60000000.0,[u'Paul W.S. Anderson'],Fox,80282231.0,92262423.0,Sci-Fi Horror,PG-13,87,893.0,0.027,34.0,700.0,-0.305,40.0,495.0,-0.332,40.0,378.0,-0.144,49.0,507.0,-0.492,60.0,460.0,-0.585,65.0,14890.0,50552611.0,1,4914.0,-0.669,4.0,2287.0,-0.606,7.0,1894.0,-0.441,15.0,1119.0,-0.634,17.0,846.0,-0.671,24.0,733.0,-0.472,33.0,725.0,-0.343,35.0,854.0,-0.061,35.0,[u'Paul W.S. Anderson'],Alien vs Predator
,"[u'Colin Strause', u'Greg Strause']",Fox,41797066.0,87087428.0,Sci-Fi Horror,R,86,513.0,-0.346,81.0,402.0,-0.503,90.0,474.0,-0.566,106.0,289.0,-0.564,115.0,,,,,,,6029.0,15740822.0,8,2297.0,-0.618,11.0,1677.0,-0.615,18.0,1151.0,-0.796,28.0,802.0,-0.743,41.0,655.0,-0.107,44.0,753.0,-0.052,51.0,663.0,-0.508,61.0,588.0,-0.533,71.0,[u'Shane Salerno'],Alien vs Predator Requiem
,,Artisan,12504289.0,,Action,R,102,,,,,,,,,,,,,,,,,,,5769.0,5647692.0,5,2285.0,-0.6,8.0,1995.0,-0.138,9.0,1263.0,-0.409,15.0,1072.0,-0.447,17.0,1019.0,-0.502,26.0,551.0,,38.0,697.0,-0.143,40.0,565.0,-0.59,57.0,,Black Mask
,,Fox,16624456.0,,Horror Comedy,PG-13,86,,,,,,,,,,,,,,,,,,,3683.0,7214221.0,5,2041.0,-0.44,10.0,1633.0,-0.539,13.0,,,,,,,,,,,,,,,,,,,[u'Joss Whedon'],Buffy the Vampire Slayer
52000000.0,,MGM,23358708.0,14355171.0,Action,PG-13,103,669.0,-0.237,53.0,673.0,-0.484,70.0,617.0,0.106,64.0,808.0,-0.75,94.0,499.0,-0.657,112.0,,,,3878.0,11459137.0,4,1879.0,-0.515,6.0,1015.0,-0.654,11.0,849.0,-0.583,18.0,547.0,-0.839,37.0,731.0,-0.44,51.0,704.0,-0.115,48.0,782.0,0.037,44.0,733.0,0.003,46.0,,Bulletproof Monk
